acc norm sg
nom norm sg
ciph
norm
loc norm pl
acc norm pl
nom norm pl
act indic intr ipf norm pl praet
gen norm sg
gen norm pl
acc inan m norm sg
dat f norm sg
f gen norm sg
f ins norm sg
f loc norm sg
m nom norm sg
dat norm sg
loc norm sg
brev norm partcp pass pf pl praet
3p act fut indic norm pf sg tran
3p act indic ipf norm praes sg tran
gen inan n norm sg
0 norm
acc anim m norm sg
gen m norm sg
gen n norm sg
act inf intr norm pf

brev n norm sg
act inf norm pf tran
act indic intr m norm pf praet sg
2p act imper norm pf pl tran
acc inan m norm plen sg
m nom norm plen sg
acc inan norm pl
acc act inan intr m norm partcp pf plen praet sg
act intr m nom norm partcp pf plen praet sg
act inf intr ipf norm
ins norm partcp pass pf pl plen praet tran
ins norm pl
3p act indic intr ipf norm praes sg
3p acc m norm sg
3p gen m norm sg
3p acc n norm sg
3p gen n norm sg
f nom norm plen sg
3p m nom norm sg
ins norm pl plen
acc norm
gen norm
dat norm pl
dat m norm plen sg
dat n norm plen sg
dat m norm partcp pass pf plen praet sg tran
dat n norm partcp pass pf plen praet sg tran
brev norm pl
3p acc norm pl
3p gen norm pl
acc anim m norm plen sg
gen m norm plen sg
gen n norm plen sg
brev m norm sg
acc inan n norm sg
inan n nom norm sg
3p act fut indic intr ipf pl
brev ipf norm partcp pass pl praet tran
brev norm partcp pass pf pl praet tran
act inf ipf norm tran
3p act fut indic intr ipf sg
acc n norm sg
n nom norm sg
acc n norm plen sg
n nom norm plen sg
acc inan m norm partcp pass pf plen praet sg tran
m nom norm partcp pass pf plen praet sg tran
3p act fut indic intr norm pf sg
acc inan norm pl plen
nom norm pl plen
act dat intr ipf m norm partcp plen praes sg
act dat intr ipf n norm partcp plen praes sg
3p act indic ipf norm pl praes tran
act ger ipf norm praes tran
dat m norm sg
dat n norm sg
ins norm sg
act inf ipf norm
act inf norm pf
comp norm
inan ins n norm sg
inan loc n norm sg
f nom norm sg
3p dat m norm sg
3p dat n norm sg
2p act fut indic norm pf pl tran
acc anim norm pl
anim m nom norm sg
acc anim norm pl plen
gen norm pl plen
loc norm pl plen
3p act indic intr ipf norm pl praes
dat norm pl plen
ins m norm plen sg
ins n norm plen sg
acc inan norm partcp pass pf pl plen praet tran
nom norm partcp pass pf pl plen praet tran
brev f norm sg
brev f norm partcp pass pf praet sg
ins m norm sg
ins n norm sg
3p acc f norm sg
3p f gen norm sg
loc m norm plen sg
loc n norm plen sg
acc f norm plen sg
acc anim norm partcp pass pf pl plen praet tran
gen norm partcp pass pf pl plen praet tran
loc norm partcp pass pf pl plen praet tran
brev m norm partcp pass pf praet sg tran
3p act fut indic intr norm pf pl
3p act fut indic norm pf pl tran
dat f norm plen sg
f gen norm plen sg
f ins norm plen sg
f loc norm plen sg
acc m norm sg
3p act indic ipf norm praes sg
brev m norm partcp pass pf praet sg
loc m norm sg
loc n norm sg
1p acc norm sg
1p gen norm sg
act indic ipf n norm praet sg tran
1p dat norm sg
1p loc norm sg
act indic intr ipf n norm praet sg
act indic ipf m norm praet sg tran
3p ins m norm sg
3p dat norm pl
3p ins n norm sg
1p nom norm sg
act f indic ipf norm praet sg tran
3p nom norm pl
1p act indic intr ipf norm pl praes
1p act indic intr ipf norm praes sg
2p act indic intr ipf norm pl praes
2p act indic intr ipf norm praes sg
act f ipf nom norm partcp plen praes sg tran
anim gen m norm sg
acc f norm sg
act f indic norm pf praet sg
act f indic intr ipf norm praet sg
act indic intr n norm pf praet sg
act f indic intr norm pf praet sg
act indic n norm pf praet sg
1p act indic ipf norm pl praes tran
brev ipf m norm partcp pass praes sg tran
dat sg
loc sg
0
3p f nom norm sg
act f indic norm pf praet sg tran
acc f ipf norm partcp pass plen praes sg tran
act indic intr norm pf pl praet
act ger intr ipf norm praes
acc ipf n norm partcp pass plen praes sg tran
ipf n nom norm partcp pass plen praes sg tran
dat norm
loc norm
act indic norm pf pl praet tran
1p act fut indic intr norm pf sg
ins norm
acc n norm partcp pass pf plen praet sg tran
n nom norm partcp pass pf plen praet sg tran
3p loc m norm sg
3p loc n norm sg
acc inan m norm
acc n norm
m nom norm
n nom norm
3p act fut indic norm pf sg
acc f norm partcp pass pf plen praet sg
act bastard inf
dat inan n norm sg
dat f norm partcp pass pf plen praet sg tran
f gen norm partcp pass pf plen praet sg tran
f ins norm partcp pass pf plen praet sg tran
f loc norm partcp pass pf plen praet sg tran
anim dat m norm sg
2p dat norm pl
brev f norm partcp pass pf praet sg tran
1p nom norm pl
1p act fut indic norm pf pl
1p act imper norm pf pl
1p act indic ipf norm pl praes
brev ipf m norm partcp pass praes sg
1p act fut indic norm pf pl tran
1p act imper norm pf pl tran
2p act imper intr ipf sg
1p acc norm pl
1p gen norm pl
1p loc norm pl
act indic ipf norm pl praet tran
1p dat norm pl
acc act inan ipf norm partcp pl plen praes
act ipf nom norm partcp pl plen praes
act dat intr ipf norm partcp pl plen praes
act ins intr ipf m norm partcp plen praes sg
act ins intr ipf n norm partcp plen praes sg
1p act fut indic intr norm pf pl
1p act imper intr norm pf pl
gen2 norm sg
loc2 norm sg
nom sg
acc pl
gen pl
acc sg
3p act indic ipf norm pl praes
2p act imper norm pf pl
2p act imper intr norm pf pl
act ger intr norm pf praet
brev f ipf norm partcp pass praes sg tran
acc act anim intr ipf norm partcp pl plen praes
act gen intr ipf norm partcp pl plen praes
act intr ipf loc norm partcp pl plen praes
dat norm partcp pass pf pl plen praet
ins m norm partcp pass pf plen praet sg
ins n norm partcp pass pf plen praet sg
3p norm
3p n nom norm sg
2p acc norm sg
2p gen norm sg
2p nom norm sg
2p act indic ipf norm praes sg tran
anim dat m norm pl
anim ins m norm sg
ins ipf norm partcp pass pl plen praet tran
act indic intr ipf m norm praet sg
brev n norm partcp pass pf praet sg tran
nom norm
act dat f ipf norm partcp plen praes sg tran
act f gen ipf norm partcp plen praes sg tran
act f ins ipf norm partcp plen praes sg tran
act f ipf loc norm partcp plen praes sg tran
act indic intr ipf norm praes
2p nom norm pl
2p act fut indic intr norm pf pl
dat ipf norm partcp pass pl plen praes tran
ins ipf m norm partcp pass plen praes sg tran
ins ipf n norm partcp pass plen praes sg tran
2p act imper ipf norm sg tran
acc inan norm
2p act imper intr ipf norm sg
1p act indic ipf norm praes sg tran
dat norm partcp pass pf pl plen praet tran
ins m norm partcp pass pf plen praet sg tran
ins n norm partcp pass pf plen praet sg tran
dat ipf norm partcp pass pl plen praet tran
ins ipf m norm partcp pass plen praet sg tran
ins ipf n norm partcp pass plen praet sg tran
1p act fut indic norm pf sg tran
3p dat f norm sg
3p f ins norm sg
3p f loc norm sg
anim ins m norm pl
bastard
2p act bastard imper intr pf sg
gen sg
2p act fut indic intr norm pf sg
2p act indic ipf norm praes sg
act indic m norm pf praet sg tran
bastard brev m sg
act bastard indic intr m pf praet sg
2p dat norm sg
2p loc norm sg
act bastard inf intr ipf
act bastard inf intr pf
act bastard inf ipf tran
act bastard inf pf tran
anim m nom norm pl
acc anim bastard m plen sg
acc anim bastard pl plen
acc bastard f plen sg
acc bastard inan m plen sg
acc bastard inan pl plen
acc bastard n plen sg
bastard dat f plen sg
bastard dat m plen sg
bastard dat n plen sg
bastard dat pl plen
bastard f gen plen sg
bastard f ins plen sg
bastard f loc plen sg
bastard f nom plen sg
bastard gen m plen sg
bastard gen n plen sg
bastard gen pl plen
bastard ins m plen sg
bastard ins n plen sg
bastard ins pl plen
bastard loc m plen sg
bastard loc n plen sg
bastard loc pl plen
bastard m nom plen sg
bastard n nom plen sg
bastard nom pl plen
act ger ipf norm praes
f nom norm partcp pass pf plen praet sg tran
acc f norm pl
acc m norm pl
acc n norm pl
dat f norm pl
dat m norm pl
dat n norm pl
f gen norm pl
f nom norm pl
gen m norm pl
gen n norm pl
m nom norm pl
n nom norm pl
act dat ipf m norm partcp plen praes sg tran
act dat ipf n norm partcp plen praes sg tran
act indic m norm pf praet sg
acc act inan intr ipf m norm partcp plen praes sg
act intr ipf m nom norm partcp plen praes sg
acc act inan intr ipf norm partcp pl plen praes
act intr ipf nom norm partcp pl plen praes
acc act inan ipf norm partcp pl plen praes tran
act ipf nom norm partcp pl plen praes tran
acc anim norm partcp pass pf pl plen praet
gen norm partcp pass pf pl plen praet
loc norm partcp pass pf pl plen praet
acc act ipf n norm partcp plen praes sg tran
act ipf n nom norm partcp plen praes sg tran
acc f inan norm
f nom norm
anom nom pl
